task 3,
"1 weight=48.64 , hook = 4.04",
MAH00262,
weight 1,
time,rpm
"24,24",5980
"42,01",5340
"59,48",4880
"74,08",4530
"88,6",4180
"101,16",3920
"113,44",3640
"124,96",3400
"135,56",3160
"146,16",2950
"155,52",2700
"165,28",2600
"173,48",2420
